water_type,lake_name,county,survey_year,species,cpue_or_abundance_metric,cpue_value,notes,source_pdf_url
lake,Yellowstone Lake,Lafayette,2018,Bluegill,fish per mile electrofished,74.0,"Below median for complex-dark lakes (116.99/mile). Size range 4.4-8.2 in, mean 6.9 in. Growth above statewide average, 8 in by age 5.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_LafayetteYellowstoneLakeCompReport20182019.pdf
lake,Yellowstone Lake,Lafayette,2018,Black Crappie,fish per net-night (fyke net),24.33,"Abundant, CPUE ranged 0.125-24.33 fish/net-night across survey events. Size range 6.8-12.4 in, mean 9.6 in. Growth above statewide average, 11 in by age 5.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_LafayetteYellowstoneLakeCompReport20182019.pdf
lake,Yellowstone Lake,Lafayette,2018,Common Carp,n/a — narrative mention only,n/a,"Abundance not formally documented (electrofishing gear avoidance); field staff/angler observation indicates high abundance. ~4,000 lbs removed 2018-2019 as part of biomanipulation.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/Reports_LafayetteYellowstoneLakeCompReport20182019.pdf
stream,Lousy Creek,St. Croix,2021,Brook Trout,total trout per mile electrofished (backpack shocker),2914.0,"Station 2, upstream of County Rd NN. 95th percentile for Class I streams in Driftless/Western Corn-belt ecoregions. Adult (>4.5in) abundance 724/mile (85th pct); YOY 2189/mile (95th pct). Coldwater IBI score 100 (Excellent). No Brown Trout detected. Only trout species stream.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixLousyCreek2021RotationSurvey.pdf
stream,Lousy Creek,St. Croix,2021,Mottled Sculpin,total catch count,110,Station 2 non-salmonid species; 448 in 2020 survey of same station.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixLousyCreek2021RotationSurvey.pdf
stream,Lousy Creek,St. Croix,2021,Creek Chub,total catch count,3,Station 2 non-salmonid species.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixLousyCreek2021RotationSurvey.pdf
stream,Nye Creek,St. Croix,2021,Brook Trout,total trout per mile electrofished (backpack shocker),1481.0,"Station 2 (downstream of Cty Rd JJ); 1449/mile at Station 1. 95th percentile for Class II Brook Trout streams statewide. Adult abundance 1111/mile (St.1) and 402/mile (St.2). Coldwater IBI 90 (Excellent).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixNyeCreek2021RotationSurvey.pdf
stream,Nye Creek,St. Croix,2021,Brown Trout,total trout per mile electrofished (backpack shocker),628.0,"Station 1 (80th percentile); 322/mile at Station 2 (60th percentile). Adult abundance 483/mile (St.1), 225/mile (St.2). Down from 1207/mile at St.1 in 2009.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixNyeCreek2021RotationSurvey.pdf
stream,Nye Creek,St. Croix,2021,Mottled Sculpin,n/a — narrative mention only,n/a,"One of 4 total species captured; present in low tolerant-species abundance, no numeric count reported.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixNyeCreek2021RotationSurvey.pdf
stream,Nye Creek,St. Croix,2021,Central Mudminnow,n/a — narrative mention only,n/a,"One of 4 total species captured; present in low tolerant-species abundance, no numeric count reported.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixNyeCreek2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,Brook Trout,total catch count (backpack/barge electrofishing),199,"Station 4 (of 3 stations: St.4/5/6); total abundance 1538/mile at St.4 (95th percentile), 225/mile St.5 (65th pct), unreported combined St.6. St.5=14, St.6=29 total catch. YOY 959/mile at St.4 (90th pct).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,Brown Trout,total catch count,1,Single 7-inch fish at Station 4 only.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,White Sucker,total catch count,80,Station 4 only; high abundance there.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,Pearl Dace,total catch count,45,Station 4 only.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,Creek Chub,total catch count,22,"Station 4 (22); also 2 at Station 5.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,Johnny Darter,total catch count,7,Station 4 only.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,Mottled Sculpin,total catch count,6,Station 5 only.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,Central Mudminnow,total catch count,4,"Station 5 (4); also 1 at Station 6.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,Brook Stickleback,total catch count,2,Station 4 only.,https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,Rainbow Darter,total catch count,1,"Station 4 (1); also 1 at Station 5.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,South Fork Willow River,St. Croix,2021,Fantail Darter,total catch count,1,"Station 5 (1); also 1 at Station 6.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/StCroixSouthForkWillowRiver2021RotationSurvey.pdf
stream,Hay Creek,Dunn,2021,Brook Trout,total trout per mile electrofished (backpack shocker),1304.0,"Station 190th St (90-95th percentile Class II Driftless streams); 692/mile at Station 1. Only trout species present (single-species stream); trout population fully naturally reproducing. Adult abundance 1079/mile (St.190th) and 676/mile (St.1). Densities doubled post-2019 habitat restoration.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/DunnHayCreek2021RotationSurvey.pdf
stream,Rush River (Middle section — St. Croix Co. line to Hwy 10),Pierce,2021,Brown Trout,total trout per mile electrofished (backpack/barge shocker),7039.0,"Station 15, highest of multiple trend stations sampled 2000-2021; range 1336-7039/mile across middle-river stations, 80th-upper 95th percentile for Class I Driftless streams. Adult density up to 4646/mile (Station 14). YOY up to 2925/mile (Station 15, 95th+ pct).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/PierceRushRiver2021RotationSurvey.pdf
stream,Rush River (Upper section),Pierce,2021,Brown Trout,total trout per mile electrofished (backpack/barge shocker),386.0,"Stations 18-19 (upper river, Class II water); range 272-386/mile, 53rd-62nd percentile for Class II Driftless streams. Adult 272-306/mile.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/PierceRushRiver2021RotationSurvey.pdf
stream,Rush River (Lower section — Hwy 10 to Hwy 35),Pierce,2021,Brown Trout,total trout per mile electrofished (backpack/barge shocker),1814.0,"Range 200-1814/mile across lower-river stations (25th-87th percentile Class I Driftless streams).",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/PierceRushRiver2021RotationSurvey.pdf
stream,Rush River (whole surveyed reach),Pierce,2021,Brook Trout,total trout per mile electrofished (backpack/barge shocker),892.0,"Station 15 highest of all stations sampled; range 25-892/mile across the river (15th-85th percentile Class I Driftless streams). Densities generally low relative to Brown Trout throughout the river.",https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/PierceRushRiver2021RotationSurvey.pdf
